Date,PP01,TX01
2001-01-15,0.04680159847161268,1,14.499801102938273
2001-01-16,1.7996803922590887,1,15.135490851899299
2001-01-17,2.403025148174861,1,14.029792159462989
2001-01-18,0.0451771269799453,1,14.532234178380042
2001-01-19,0.0,0,16.727223846641284
2001-01-20,0.0,0,18.0456104418623
2001-01-21,0.0,0,22.008666761981836
2001-01-22,0.0,0,18.81069816054002
2001-01-23,0.0,0,17.006021557447767
2001-01-24,0.0,0,17.500782363726145
2001-01-25,0.0,0,17.146873974403253
2001-01-26,7.48379122533876,1,14.307934371147693
2001-01-27,21.528839834091524,1,13.597760237489915
2001-01-28,1.754386376305634,1,12.31087028675241
2001-01-29,0.0,0,14.663623189355459
2001-01-30,0.0,0,13.687931045270343
2001-01-31,0.0,0,14.986641735333198
2001-02-01,0.0,0,16.991431526819174
2001-02-02,0.0,0,17.780270235910823
2001-02-03,0.0,0,16.02189777980513
2001-02-04,0.0,0,17.264848806757133
2001-02-05,1.367818201630095,1,17.71306855672031
2001-02-06,14.447299852423,1,16.886129253973593
2001-02-07,0.0,0,16.907841586510344
2001-02-08,0.0,0,17.64450080906902
2001-02-09,0.0,0,14.833482114875098
2001-02-10,0.0,0,17.922943436862834
2001-02-11,0.0,0,18.316155478993196
2001-02-12,0.0,0,20.191971822828684
2001-02-13,0.0,0,17.78527407183214
2001-02-14,1.4086933450680998,1,15.910976350499443
2001-02-15,2.086098698768121,1,12.674057737541096
2001-02-16,0.0,0,15.990957491557339
2001-02-17,2.120780992974244,1,15.634950113019258
2001-02-18,1.738242317374415,1,18.661335871066218
2001-02-19,0.0,0,18.41443131233059
2001-02-20,0.0,0,18.549343512309548
2001-02-21,0.0,0,20.3746929454807
2001-02-22,0.0,0,18.230644491372953
2001-02-23,0.0,0,18.443662583554843
2001-02-24,0.0,0,17.241571248024346
2001-02-25,0.0,0,17.307083004053013
2001-02-26,13.22332074031406,1,13.364180533977779
2001-02-27,1.875640079251009,1,14.54212923039092
